index,time
2900,2007-12-10T12:00:00.000000000
351,2000-12-17T12:00:00.000000000
994,2002-09-21T12:00:00.000000000
3612,2009-11-21T12:00:00.000000000
2763,2007-07-26T12:00:00.000000000
4725,2012-12-08T12:00:00.000000000
4788,2013-02-09T12:00:00.000000000
4586,2012-07-22T12:00:00.000000000
3237,2008-11-11T12:00:00.000000000
408,2001-02-12T12:00:00.000000000
1319,2003-08-12T12:00:00.000000000
2399,2006-07-27T12:00:00.000000000
1729,2004-09-25T12:00:00.000000000
1872,2005-02-15T12:00:00.000000000
3276,2008-12-20T12:00:00.000000000
2402,2006-07-30T12:00:00.000000000
465,2001-04-10T12:00:00.000000000
4957,2013-07-28T12:00:00.000000000
4190,2011-06-22T12:00:00.000000000
263,2000-09-20T12:00:00.000000000
2787,2007-08-19T12:00:00.000000000
1695,2004-08-22T12:00:00.000000000
4406,2012-01-24T12:00:00.000000000
2574,2007-01-18T12:00:00.000000000
4536,2012-06-02T12:00:00.000000000
915,2002-07-04T12:00:00.000000000
805,2002-03-16T12:00:00.000000000
2799,2007-08-31T12:00:00.000000000
5462,2014-12-15T12:00:00.000000000
4147,2011-05-10T12:00:00.000000000
2173,2005-12-13T12:00:00.000000000
1893,2005-03-08T12:00:00.000000000
5556,2015-03-19T12:00:00.000000000
3197,2008-10-02T12:00:00.000000000
2918,2007-12-28T12:00:00.000000000
2683,2007-05-07T12:00:00.000000000
4035,2011-01-18T12:00:00.000000000
3685,2010-02-02T12:00:00.000000000
4016,2010-12-30T12:00:00.000000000
2024,2005-07-17T12:00:00.000000000
2471,2006-10-07T12:00:00.000000000
3658,2010-01-06T12:00:00.000000000
5443,2014-11-26T12:00:00.000000000
1231,2003-05-16T12:00:00.000000000
199,2000-07-18T12:00:00.000000000
157,2000-06-06T12:00:00.000000000
4437,2012-02-24T12:00:00.000000000
2688,2007-05-12T12:00:00.000000000
239,2000-08-27T12:00:00.000000000
3715,2010-03-04T12:00:00.000000000
1074,2002-12-10T12:00:00.000000000
4423,2012-02-10T12:00:00.000000000
544,2001-06-28T12:00:00.000000000
3792,2010-05-20T12:00:00.000000000
4309,2011-10-19T12:00:00.000000000
2680,2007-05-04T12:00:00.000000000
3895,2010-08-31T12:00:00.000000000
4250,2011-08-21T12:00:00.000000000
2526,2006-12-01T12:00:00.000000000
4089,2011-03-13T12:00:00.000000000
2447,2006-09-13T12:00:00.000000000
3555,2009-09-25T12:00:00.000000000
4480,2012-04-07T12:00:00.000000000
4525,2012-05-22T12:00:00.000000000
2412,2006-08-09T12:00:00.000000000
5067,2013-11-15T12:00:00.000000000
5474,2014-12-27T12:00:00.000000000
2991,2008-03-10T12:00:00.000000000
2755,2007-07-18T12:00:00.000000000
156,2000-06-05T12:00:00.000000000
2451,2006-09-17T12:00:00.000000000
3996,2010-12-10T12:00:00.000000000
5797,2015-11-15T12:00:00.000000000
1870,2005-02-13T12:00:00.000000000
3578,2009-10-18T12:00:00.000000000
4715,2012-11-28T12:00:00.000000000
4003,2010-12-17T12:00:00.000000000
5043,2013-10-22T12:00:00.000000000
1869,2005-02-12T12:00:00.000000000
3615,2009-11-24T12:00:00.000000000
3240,2008-11-14T12:00:00.000000000
2834,2007-10-05T12:00:00.000000000
167,2000-06-16T12:00:00.000000000
4464,2012-03-22T12:00:00.000000000
2623,2007-03-08T12:00:00.000000000
1964,2005-05-18T12:00:00.000000000
2702,2007-05-26T12:00:00.000000000
5469,2014-12-22T12:00:00.000000000
2641,2007-03-26T12:00:00.000000000
4284,2011-09-24T12:00:00.000000000
2388,2006-07-16T12:00:00.000000000
1471,2004-01-11T12:00:00.000000000
2236,2006-02-14T12:00:00.000000000
2699,2007-05-23T12:00:00.000000000
2694,2007-05-18T12:00:00.000000000
1344,2003-09-06T12:00:00.000000000
5319,2014-07-25T12:00:00.000000000
5190,2014-03-18T12:00:00.000000000
676,2001-11-07T12:00:00.000000000
101,2000-04-11T12:00:00.000000000
1745,2004-10-11T12:00:00.000000000
5656,2015-06-27T12:00:00.000000000
787,2002-02-26T12:00:00.000000000
